127.0.0.1 - - [24/Oct/2018:11:41:02 +0000] "GET /combo?browserId=other&minifierType=js&languageId=en_US&b=7110&t=1540229477048&/o/frontend-js-web/aui/widget-skin/widget-skin.js&/o/frontend-js-web/aui/widget-uievents/widget-uievents.js&/o/frontend-js-web/aui/yui-throttle/yui-throttle.js&/o/frontend-js-web/aui/aui-base-core/aui-base-core.js&/o/frontend-js-web/aui/aui-base-lang/aui-base-lang.js&/o/frontend-js-web/aui/aui-classnamemanager/aui-classnamemanager.js&/o/frontend-js-web/aui/aui-component/aui-component.js&/o/frontend-js-web/aui/aui-debounce/aui-debounce.js&/o/frontend-js-web/aui/aui-delayed-task-deprecated/aui-delayed-task-deprecated.js&/o/frontend-js-web/aui/aui-event-base/aui-event-base.js&/o/frontend-js-web/aui/aui-event-input/aui-event-input.js&/o/frontend-js-web/aui/aui-form-validator/aui-form-validator.js&/o/frontend-js-web/aui/aui-node-base/aui-node-base.js&/o/frontend-js-web/aui/aui-node-html5/aui-node-html5.js&/o/frontend-js-web/aui/aui-selector/aui-selector.js&/o/frontend-js-web/aui/aui-timer/aui-timer.js&/o/frontend-js-web/liferay/dependency.js&/o/frontend-js-web/liferay/dom_task_runner.js&/o/frontend-js-web/liferay/events.js&/o/frontend-js-web/liferay/language.js&/o/frontend-js-web/liferay/lazy_load.js&/o/frontend-js-web/liferay/liferay.js&/o/frontend-js-web/liferay/util.js&/o/frontend-js-web/liferay/global.bundle.js&/o/frontend-js-web/liferay/portal.js&/o/frontend-js-web/liferay/portlet.js&/o/frontend-js-web/liferay/workflow.js&/o/frontend-js-web/liferay/address.js&/o/frontend-js-web/liferay/form.js&/o/frontend-js-web/liferay/form_placeholders.js&/o/frontend-js-web/liferay/icon.js&/o/frontend-js-web/liferay/menu.js&/o/frontend-js-web/liferay/notice.js&/o/frontend-js-web/liferay/poller.js&/o/frontend-js-web/aui/async-queue/async-queue.js&/o/frontend-js-web/aui/base-build/base-build.js&/o/frontend-js-web/aui/cookie/cookie.js&/o/frontend-js-web/aui/event-touch/event-touch.js&/o/frontend-js-web/aui/overlay/overlay.js&/o/frontend-js-web/aui/querystring-stringify/querystring-stringify.js HTTP/1.1" 200 460445
127.0.0.1 - - [24/Oct/2018:11:41:02 +0000] "GET /combo?browserId=other&minifierType=js&languageId=en_US&b=7110&t=1540229477048&/o/frontend-js-web/aui/event-focus/event-focus.js&/o/frontend-js-web/aui/event-hover/event-hover.js&/o/frontend-js-web/aui/event-key/event-key.js&/o/frontend-js-web/aui/event-mouseenter/event-mouseenter.js&/o/frontend-js-web/aui/event-mousewheel/event-mousewheel.js&/o/frontend-js-web/aui/event-outside/event-outside.js&/o/frontend-js-web/aui/event-resize/event-resize.js&/o/frontend-js-web/aui/event-simulate/event-simulate.js&/o/frontend-js-web/aui/event-synthetic/event-synthetic.js&/o/frontend-js-web/aui/intl/intl.js&/o/frontend-js-web/aui/io-base/io-base.js&/o/frontend-js-web/aui/io-form/io-form.js&/o/frontend-js-web/aui/io-queue/io-queue.js&/o/frontend-js-web/aui/io-upload-iframe/io-upload-iframe.js&/o/frontend-js-web/aui/io-xdr/io-xdr.js&/o/frontend-js-web/aui/json-parse/json-parse.js&/o/frontend-js-web/aui/json-stringify/json-stringify.js&/o/frontend-js-web/aui/node-base/node-base.js&/o/frontend-js-web/aui/node-core/node-core.js&/o/frontend-js-web/aui/node-event-delegate/node-event-delegate.js&/o/frontend-js-web/aui/node-event-simulate/node-event-simulate.js&/o/frontend-js-web/aui/node-focusmanager/node-focusmanager.js&/o/frontend-js-web/aui/node-pluginhost/node-pluginhost.js&/o/frontend-js-web/aui/node-screen/node-screen.js&/o/frontend-js-web/aui/node-style/node-style.js&/o/frontend-js-web/aui/oop/oop.js&/o/frontend-js-web/aui/plugin/plugin.js&/o/frontend-js-web/aui/pluginhost-base/pluginhost-base.js&/o/frontend-js-web/aui/pluginhost-config/pluginhost-config.js&/o/frontend-js-web/aui/querystring-stringify-simple/querystring-stringify-simple.js&/o/frontend-js-web/aui/queue-promote/queue-promote.js&/o/frontend-js-web/aui/selector-css2/selector-css2.js&/o/frontend-js-web/aui/selector-css3/selector-css3.js&/o/frontend-js-web/aui/selector-native/selector-native.js&/o/frontend-js-web/aui/selector/selector.js&/o/frontend-js-web/aui/widget-base/widget-base.js&/o/frontend-js-web/aui/widget-htmlparser/widget-htmlparser.js HTTP/1.1" 200 413202
127.0.0.1 - - [24/Oct/2018:11:41:02 +0000] "GET /combo?browserId=other&minifierType=js&languageId=en_US&b=7110&t=1540229477048&/o/frontend-js-web/jquery/jquery.js&/o/frontend-js-web/clay/popper.js&/o/frontend-js-web/clay/bootstrap.js&/o/frontend-js-web/loader/config.js&/o/frontend-js-web/loader/loader.js&/o/frontend-js-web/lodash/lodash.js&/o/frontend-js-web/aui/aui/aui.js&/o/frontend-js-web/aui/aui-base-html5-shiv/aui-base-html5-shiv.js&/o/frontend-js-web/liferay/browser_selectors.js&/o/frontend-js-web/liferay/modules.js&/o/frontend-js-web/liferay/aui_sandbox.js&/o/frontend-js-web/clay/collapsible-search.js&/o/frontend-js-web/clay/side-navigation.js&/o/frontend-js-web/jquery/fm.js&/o/frontend-js-web/jquery/form.js&/o/frontend-js-web/lodash/util.js&/o/frontend-js-web/misc/svg4everybody.js&/o/frontend-js-web/aui/arraylist-add/arraylist-add.js&/o/frontend-js-web/aui/arraylist-filter/arraylist-filter.js&/o/frontend-js-web/aui/arraylist/arraylist.js&/o/frontend-js-web/aui/array-extras/array-extras.js&/o/frontend-js-web/aui/array-invoke/array-invoke.js&/o/frontend-js-web/aui/attribute-base/attribute-base.js&/o/frontend-js-web/aui/attribute-complex/attribute-complex.js&/o/frontend-js-web/aui/attribute-core/attribute-core.js&/o/frontend-js-web/aui/attribute-observable/attribute-observable.js&/o/frontend-js-web/aui/attribute-extras/attribute-extras.js&/o/frontend-js-web/aui/base-base/base-base.js&/o/frontend-js-web/aui/base-pluginhost/base-pluginhost.js&/o/frontend-js-web/aui/classnamemanager/classnamemanager.js&/o/frontend-js-web/aui/datatype-xml-format/datatype-xml-format.js&/o/frontend-js-web/aui/datatype-xml-parse/datatype-xml-parse.js&/o/frontend-js-web/aui/dom-base/dom-base.js&/o/frontend-js-web/aui/dom-core/dom-core.js&/o/frontend-js-web/aui/dom-screen/dom-screen.js&/o/frontend-js-web/aui/dom-style/dom-style.js&/o/frontend-js-web/aui/event-base/event-base.js&/o/frontend-js-web/aui/event-custom-base/event-custom-base.js&/o/frontend-js-web/aui/event-custom-complex/event-custom-complex.js&/o/frontend-js-web/aui/event-delegate/event-delegate.js HTTP/1.1" 200 1959523
127.0.0.1 - - [24/Oct/2018:11:41:02 +0000] "GET /combo/?browserId=other&minifierType=&languageId=en_US&b=7110&t=1540229477048&/o/frontend-js-web/aui/widget-base/assets/skins/sam/widget-base.css HTTP/1.1" 200 321
127.0.0.1 - - [24/Oct/2018:11:41:02 +0000] "GET /combo/?browserId=other&minifierType=&languageId=en_US&b=7110&t=1540229477048&/o/js/resolved-module/frontend-js-metal-web@2.0.3/bridge/metal-dom/src/all/dom.js&/o/js/resolved-module/frontend-js-metal-web@2.0.3/bridge/metal-uri/src/Uri.js&/o/js/resolved-module/frontend-js-metal-web$metal-position@2.1.1/lib/Geometry.js&/o/js/resolved-module/frontend-js-metal-web$metal-position@2.1.1/lib/Position.js&/o/js/resolved-module/frontend-js-metal-web$metal-position@2.1.1/lib/Align.js&/o/js/resolved-module/frontend-js-metal-web$metal-position@2.1.1/lib/all/position.js&/o/js/resolved-module/frontend-taglib-clay$clay-tooltip@2.1.12/lib/ClayTooltip.soy.js&/o/js/resolved-module/frontend-taglib-clay$clay-tooltip@2.1.12/lib/ClayTooltip.js&/o/js/resolved-module/frontend-taglib-clay@1.0.5/bridge/clay-tooltip/src/ClayTooltip.js HTTP/1.1" 200 45801
127.0.0.1 - - [24/Oct/2018:11:41:02 +0000] "GET /combo/?browserId=other&minifierType=&languageId=en_US&b=7110&t=1540229477048&/o/frontend-js-web/aui/escape/escape-min.js&/o/frontend-js-web/aui/base-core/base-core-min.js&/o/frontend-js-web/aui/base-observable/base-observable-min.js&/o/frontend-js-web/aui/aui-widget-cssclass/aui-widget-cssclass-min.js&/o/frontend-js-web/aui/aui-widget-toggle/aui-widget-toggle-min.js&/o/frontend-js-web/aui/timers/timers-min.js HTTP/1.1" 200 9013
127.0.0.1 - - [24/Oct/2018:11:41:02 +0000] "GET /combo/?browserId=other&minifierType=&languageId=en_US&b=7110&t=1540229477048&/o/js/resolved-module/frontend-taglib-clay$clay-icon@2.1.12/lib/ClayIcon.soy.js&/o/js/resolved-module/frontend-taglib-clay$clay-icon@2.1.12/lib/ClayIcon.js&/o/js/resolved-module/frontend-taglib-clay$clay-component@2.1.12/lib/ClayComponent.js&/o/js/resolved-module/frontend-taglib-clay$clay-button@2.1.12/lib/ClayButton.soy.js&/o/js/resolved-module/frontend-taglib-clay$clay-button@2.1.12/lib/ClayButton.js&/o/js/resolved-module/frontend-taglib-clay$clay-alert@2.1.12/lib/ClayAlertBase.soy.js&/o/js/resolved-module/frontend-taglib-clay$clay-alert@2.1.12/lib/ClayAlertBase.js&/o/js/resolved-module/frontend-taglib-clay$clay-alert@2.1.12/lib/ClayAlert.soy.js&/o/js/resolved-module/frontend-taglib-clay$clay-alert@2.1.12/lib/ClayAlert.js&/o/js/resolved-module/frontend-taglib-clay$clay-alert@2.1.12/lib/ClayStripe.soy.js&/o/js/resolved-module/frontend-taglib-clay$clay-alert@2.1.12/lib/ClayStripe.js&/o/js/resolved-module/frontend-taglib-clay$clay-alert@2.1.12/lib/ClayToast.soy.js&/o/js/resolved-module/frontend-taglib-clay$clay-alert@2.1.12/lib/ClayToast.js&/o/js/resolved-module/frontend-taglib-clay$clay-alert@2.1.12/lib/all/alert.js&/o/js/resolved-module/frontend-js-web@2.0.6/liferay/toast/commands/OpenToast.es.js&/o/js/resolved-module/frontend-js-spa-web@2.0.6/liferay/surface/Surface.es.js&/o/js/resolved-module/frontend-js-spa-web@2.0.6/liferay/util/Utils.es.js&/o/js/resolved-module/frontend-js-spa-web@2.0.6/liferay/app/App.es.js&/o/js/resolved-module/frontend-js-spa-web@2.0.6/liferay/screen/RenderURLScreen.es.js&/o/js/resolved-module/frontend-js-spa-web@2.0.6/liferay/init.es.js HTTP/1.1" 200 137241
127.0.0.1 - - [24/Oct/2018:11:41:02 +0000] "GET /combo/?browserId=other&minifierType=&languageId=en_US&b=7110&t=1540229477048&/o/js/resolved-module/frontend-js-metal-web$metal-promise@2.0.1/lib/promise/Promise.js&/o/js/resolved-module/frontend-js-spa-web$senna@2.5.6/lib/globals/globals.js&/o/js/resolved-module/frontend-js-metal-web$metal-uri@2.4.0/lib/parseFromAnchor.js&/o/js/resolved-module/frontend-js-metal-web$metal-uri@2.4.0/lib/parse.js&/o/js/resolved-module/frontend-js-metal-web$metal-structs@1.0.1/lib/MultiMap.js&/o/js/resolved-module/frontend-js-metal-web$metal-structs@1.0.1/lib/TreeNode.js&/o/js/resolved-module/frontend-js-metal-web$metal-structs@1.0.1/lib/all/structs.js&/o/js/resolved-module/frontend-js-metal-web$metal-uri@2.4.0/lib/Uri.js&/o/js/resolved-module/frontend-js-node-shims$path-browserify@0.0.0/index.js&/o/js/resolved-module/frontend-js-node-shims$path@0.0.0/index.js&/o/js/resolved-module/frontend-js-node-shims$punycode@1.3.2/punycode.js&/o/js/resolved-module/frontend-js-node-shims$url@0.11.0/util.js&/o/js/resolved-module/frontend-js-node-shims$querystring@0.2.0/decode.js&/o/js/resolved-module/frontend-js-node-shims$querystring@0.2.0/encode.js&/o/js/resolved-module/frontend-js-node-shims$querystring@0.2.0/index.js&/o/js/resolved-module/frontend-js-node-shims$url@0.11.0/url.js&/o/js/resolved-module/frontend-js-metal-web$metal-uri@2.4.0/node.js&/o/js/resolved-module/frontend-js-metal-web$metal-ajax@2.1.1/lib/Ajax.js&/o/js/resolved-module/frontend-js-spa-web$senna@2.5.6/lib/errors/errors.js&/o/js/resolved-module/frontend-js-spa-web$senna@2.5.6/lib/utils/utils.js&/o/js/resolved-module/frontend-js-spa-web$senna@2.5.6/lib/cacheable/Cacheable.js&/o/js/resolved-module/frontend-js-spa-web$senna@2.5.6/lib/screen/Screen.js&/o/js/resolved-module/frontend-js-metal-web$metal-useragent@3.0.0/lib/UA.js&/o/js/resolved-module/frontend-js-spa-web$senna@2.5.6/lib/screen/RequestScreen.js&/o/js/resolved-module/frontend-js-spa-web$senna@2.5.6/lib/surface/Surface.js HTTP/1.1" 200 178446
127.0.0.1 - - [24/Oct/2018:11:41:02 +0000] "GET /combo/?browserId=other&minifierType=&languageId=en_US&b=7110&t=1540229477048&/o/js/resolved-module/frontend-js-metal-web$metal@2.16.5/lib/coreNamed.js&/o/js/resolved-module/frontend-js-metal-web$metal@2.16.5/lib/core.js&/o/js/resolved-module/frontend-js-metal-web$metal@2.16.5/lib/array/array.js&/o/js/resolved-module/frontend-js-metal-web$metal@2.16.5/lib/async/async.js&/o/js/resolved-module/frontend-js-metal-web$metal@2.16.5/lib/disposable/Disposable.js&/o/js/resolved-module/frontend-js-metal-web$metal@2.16.5/lib/object/object.js&/o/js/resolved-module/frontend-js-metal-web$metal@2.16.5/lib/string/string.js&/o/js/resolved-module/frontend-js-metal-web$metal@2.16.5/lib/metal.js&/o/js/resolved-module/frontend-js-metal-web$metal-dom@2.16.5/lib/domData.js&/o/js/resolved-module/frontend-js-metal-web$metal-events@2.16.5/lib/EventHandle.js&/o/js/resolved-module/frontend-js-metal-web$metal-events@2.16.5/lib/EventEmitter.js&/o/js/resolved-module/frontend-js-metal-web$metal-events@2.16.5/lib/EventEmitterProxy.js&/o/js/resolved-module/frontend-js-metal-web$metal-events@2.16.5/lib/EventHandler.js&/o/js/resolved-module/frontend-js-metal-web$metal-events@2.16.5/lib/events.js&/o/js/resolved-module/frontend-js-metal-web$metal-dom@2.16.5/lib/DomDelegatedEventHandle.js&/o/js/resolved-module/frontend-js-metal-web$metal-dom@2.16.5/lib/DomEventHandle.js&/o/js/resolved-module/frontend-js-metal-web$metal-dom@2.16.5/lib/domNamed.js&/o/js/resolved-module/frontend-js-metal-web$metal-dom@2.16.5/lib/dom.js&/o/js/resolved-module/frontend-js-metal-web$metal-dom@2.16.5/lib/DomEventEmitterProxy.js&/o/js/resolved-module/frontend-js-metal-web$metal-dom@2.16.5/lib/features.js&/o/js/resolved-module/frontend-js-metal-web$metal-dom@2.16.5/lib/globalEval.js&/o/js/resolved-module/frontend-js-metal-web$metal-dom@2.16.5/lib/globalEvalStyles.js&/o/js/resolved-module/frontend-js-metal-web$metal-dom@2.16.5/lib/events.js&/o/js/resolved-module/frontend-js-metal-web$metal-dom@2.16.5/lib/all/dom.js HTTP/1.1" 200 132301
127.0.0.1 - - [24/Oct/2018:11:41:02 +0000] "GET /combo/?browserId=other&minifierType=&languageId=en_US&b=7110&t=1540229477048&/o/js/resolved-module/frontend-js-metal-web$metal-incremental-dom@2.16.5/lib/html/HTMLParser.js&/o/js/resolved-module/frontend-js-metal-web$metal-incremental-dom@2.16.5/lib/html/unescape.js&/o/js/resolved-module/frontend-js-metal-web$metal-incremental-dom@2.16.5/lib/html/HTML2IncDom.js&/o/js/resolved-module/frontend-js-metal-web$incremental-dom@0.5.1/dist/incremental-dom-cjs.js&/o/js/resolved-module/frontend-js-metal-web$incremental-dom-string@0.0.2/dist/incremental-dom-string.js&/o/js/resolved-module/frontend-js-metal-web$metal-incremental-dom@2.16.5/lib/incremental-dom.js&/o/js/resolved-module/frontend-js-metal-web$metal-incremental-dom@2.16.5/lib/data.js&/o/js/resolved-module/frontend-js-metal-web$metal-incremental-dom@2.16.5/lib/changes.js&/o/js/resolved-module/frontend-js-metal-web$metal-incremental-dom@2.16.5/lib/callArgs.js&/o/js/resolved-module/frontend-js-metal-web$metal-incremental-dom@2.16.5/lib/incremental-dom-aop.js&/o/js/resolved-module/frontend-js-metal-web$metal-incremental-dom@2.16.5/lib/children/children.js&/o/js/resolved-module/frontend-js-metal-web$metal-incremental-dom@2.16.5/lib/render/attributes.js&/o/js/resolved-module/frontend-js-metal-web$metal-incremental-dom@2.16.5/lib/cleanup/unused.js&/o/js/resolved-module/frontend-js-metal-web$metal-incremental-dom@2.16.5/lib/render/render.js&/o/js/resolved-module/frontend-js-metal-web$metal-incremental-dom@2.16.5/lib/render/patch.js&/o/js/resolved-module/frontend-js-metal-web$metal-incremental-dom@2.16.5/lib/IncrementalDomRenderer.js&/o/js/resolved-module/frontend-js-metal-web$metal-incremental-dom@2.16.5/lib/all/incremental-dom.js&/o/js/resolved-module/frontend-js-metal-web$metal-soy-bundle@2.16.5/lib/bundle.js&/o/js/resolved-module/frontend-js-metal-web$metal-soy@2.16.5/lib/SoyAop.js&/o/js/resolved-module/frontend-js-metal-web$metal-soy@2.16.5/lib/Soy.js HTTP/1.1" 200 341211
